:Product: Daily Geomagnetic Data          DGD.txt
:Issued: 1830 UT 02 Jan 2016
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#               Last 30 Days Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2015 12 04     4  0 3 1 1 1 1 1 1     1  0 0 1 1 1 0 0 0     5  1 3 2 1 1 0 1 2
2015 12 05    14  1 2 4 4 2 3 3 2    27  0 0 5 5 5 5 3 2    16  2 2 4 4 3 4 4 3
2015 12 06    26  2 4 2 5 5 4 3 4    52  2 4 4 7 7 5 3 3    24  3 4 3 5 4 4 4 4
2015 12 07    16  4 3 3 3 4 3 2 2    35  3 3 4 6 6 4 4 2    20  4 4 3 3 4 4 3 2
2015 12 08     9  4 2-1 2 2 1 2 1    17  3 2 1 5 5 2 1 1    11  4 3 2 2 3 1 2 2
2015 12 09     6  2 2 0 1 2 2 3 1     6  0 1 0 1 3 3 2 1     8  2 3 1 1 2 2 3 2
2015 12 10    18  2 4 3 4 2 3 3 4    34  2 4 5 5 6 4 4 2    23  3 5 4 3 3 3 4 4
2015 12 11    14  4 2 2 3 2 3 3 3    39  3 4 6 6 5 5 2 2    20  4 3 3 3 3 4 3 4
2015 12 12     8  2 3 2 2 2 2 2 1    20  2 2 5 5 4 3 2 1    12  3 4 3 2 2 3 2 2
2015 12 13     6  3 2 2 2 1 1 1 0    11  2 3 4 4 2 2 0 0     8  3 3 2 2 2 1 1 1
2015 12 14    15  2 1 0 1 3 4 3 5    31  0 0 2 4 4 6 6 4    22  2 2 1 2 3 5 4 5
2015 12 15    13  4 4 2 1 3 3 1 2    22  4 3 2 3 5 5 2 2    17  5 4 3 2 3 3 1 3
2015 12 16     5  3 2 1 0 2 1 1 1     5  3 2 0 2 0 0 2 0     7  4 3 1 0 1 0 1 1
2015 12 17     6  1 1 0 1 2 2 3 2     8  0 0 0 3 3 3 3 2     7  1 1 1 1 1 2 4 2
2015 12 18     4  1 0 1 1 1 2 1 2     3  1 0 1 1 0 1 1 2     5  2 1 1 1 1 1 1 3
2015 12 19     8  1 1 1 1 2 3 3 3     8  0 0 0 2 1 4 3 3    12  2 1 1 1 1 4 4 4
2015 12 20    33  3 5 4 4 4 5 4 5    89  2 6 6 7 7 7 6 5    66  4 6 5 5 5 6 6 6
2015 12 21    22  5 5 4 4 2 2 2 2    49  3 6 6 7 5 3 2 2    38  6 6 5 4 3 3 2 3
2015 12 22     8  2 2 2 3 2 1 2 2    27  2 2 3 7 4 2 1 2    13  3 3 3 4 2 1 2 2
2015 12 23     7  1 2 2 1 2 2 2 3    14  2 2 3 4 4 3 2 2    11  2 2 2 2 2 2 3 4
2015 12 24     8  2 2 3 1 2 2 2 2    17  2 3 4 3 5 2 2 2    12  3 3 3 2 3 2 3 3
2015 12 25     6  1 1 3 1 2 2 2 1     9  2 1 3 3 3 2 2 1     9  3 2 3 2 2 2 2 2
2015 12 26    11  2 2 2 2 3 2 2 4    17  1 2 2 2 5 4 2 4    15  3 2 2 2 3 3 3 5
2015 12 27     7  2 2 2 2 2 2 2 2    15  2 2 3 5 4 2 1 1    11  3 2 3 2 3 2 2 2
2015 12 28     3  1 1 1 1 1 1 1 1     6  1 0 1 3 4 1 0 0     5  1 1 1 2 2 1 1 1
2015 12 29     4  2 1 1 0 2 2 1 1     6  2 1 0 1 3 3 1 1     6  2 1 1 1 2 2 2 2
2015 12 30     2  0 0 0 1 1 1 1 1     4  0 0 1 2 3 2 0 0     4  1 0 1 1 1 1 1 2
2015 12 31    25  3 3 4 4 4 3 4 5    61  2 2 6 5 7 6 6 5    43  4 3 4 4 6 4 5 6
2016 01 01    17  5 4 4 3 1 2 2 1    33  5 5 6 5 3 2 2 2    27  6 5 5 3 2 1 2 2
2016 01 02    -1  2 2 2 2 2 2-1-1    -1  2 2 3 5 3 3-1-1    10  3 2 3 2 2 2-1-1
